Date,Close_NIKE,Open_NIKE,High_NIKE,Low_NIKE,Close_DJIA,Open_DJIA,High_DJIA,Low_DJIA
5/4/2011,20.73,20.62,20.75,20.35,12723.58,12806.29,12852.81,12632.46
5/5/2011,20.88,20.68,20.84,20.52,12584.17,12723.65,12757.26,12504.85
5/6/2011,20.67,20.8,20.86,20.44,12638.74,12580.76,12788.78,12580.76
5/9/2011,21.15,20.45,20.74,20.43,12684.68,12637.83,12751.35,12591.59
5/10/2011,21.57,20.81,20.93,20.68,12760.36,12685.13,12806.6,12665.45
5/11/2011,21.32,20.79,20.92,20.55,12630.03,12745.87,12748.21,12577.21
5/12/2011,21.22,20.66,21.18,20.61,12695.92,12629.81,12746.09,12497.97
5/13/2011,21.21,21.18,21.63,21.18,12595.75,12695.65,12749.08,12522.79
5/16/2011,21.53,21.44,21.57,21.26,12548.37,12594.84,12676.66,12482.07
5/17/2011,21.26,21.21,21.26,20.99,12479.58,12541.18,12591.51,12342.29
5/18/2011,20.91,21.22,21.4,21.13,12560.18,12471.78,12595.6,12402.15
5/19/2011,21.08,21.3,21.54,21.26,12605.32,12561.46,12673.78,12506.67
5/20/2011,20.8,21.6,21.62,21.1,12512.04,12604.64,12630.11,12453.96
5/23/2011,21.02,21.03,21.18,20.87,12381.26,12511.29,12511.29,12292.49
5/24/2011,21.16,20.95,21.18,20.91,12356.21,12381.87,12465.8,12315.42
5/25/2011,21.11,20.95,20.95,20.78,12394.66,12355.45,12462.28,12271.9
5/26/2011,20.54,20.79,21.06,20.75,12402.76,12391.56,12456.08,12285.75
5/27/2011,20.29,21.06,21.2,21.05,12441.58,12398.06,12519.35,12382.93
5/31/2011,20.09,21.21,21.24,20.96,12569.79,12443.4,12611.68,12443.4
6/1/2011,19.94,21.09,21.18,20.52,12290.14,12569.34,12569.34,12273.41
6/2/2011,20.48,20.47,20.65,20.27,12248.55,12289.61,12359.31,12171.39
6/3/2011,20.03,20.13,20.34,20.06,12151.26,12247.87,12247.87,12061.96
6/6/2011,20.17,20.09,20.24,19.94,12089.96,12151.19,12201.44,12045.76
6/7/2011,19.92,20.05,20.58,20.04,12070.81,12090.18,12214.46,12055.64
6/8/2011,20.13,20.38,20.5,19.97,12048.94,12066.5,12145.21,11981.28
6/9/2011,20.56,20.07,20.33,20.06,12124.36,12049.47,12205.49,12038.49
6/10/2011,20.1,20.15,20.39,19.89,11951.91,12124.17,12124.17,11912.03
6/13/2011,20.07,19.94,20.47,19.92,11952.97,11945.33,12066.46,11883.15
6/14/2011,20.28,20.29,20.61,20.27,12076.11,11951.38,12156.52,11951.38
6/15/2011,20.81,20.39,20.48,19.98,11897.27,12075.2,12075.2,11841.87
6/16/2011,21.13,20.12,20.19,19.86,11961.52,11896.13,12023.39,11821.96
6/17/2011,20.49,20.2,20.4,20.2,12004.36,11962.58,12109.11,11952.55
6/20/2011,20.55,20.22,20.85,20.22,12080.38,12004.28,12129.54,11942.07
6/21/2011,20.3,20.79,21.21,20.76,12190.01,12081.33,12248.97,12059.46
6/22/2011,20.41,20.97,21.1,20.46,12109.67,12189.63,12242.31,12082.43
6/23/2011,22.48,20.34,20.59,20.16,12050,12108.5,12108.5,11841.19
6/24/2011,22.45,20.53,20.62,20.18,11934.58,12049.24,12082.65,11892.95
6/27/2011,22.5,20.23,20.69,20.23,12043.56,11934.73,12113.5,11907.71
6/28/2011,22.96,21.32,22.65,21.29,12188.69,12042.28,12225.89,12042.28
6/29/2011,22.94,22.42,22.59,22.05,12261.42,12187.63,12311.03,12148.88
6/30/2011,23.09,22.31,22.61,22.31,12414.34,12262.1,12464.63,12262.1
7/1/2011,23.42,22.41,23,22.36,12582.77,12412.07,12614.56,12375.55
7/5/2011,23.31,22.82,23.03,22.73,12569.87,12583,12642.9,12504.1
7/6/2011,22.86,22.85,23.12,22.84,12626.02,12562.47,12668.03,12507.84
7/7/2011,22.81,23.19,23.56,23.18,12719.49,12628.37,12753.89,12628.37
7/8/2011,23.01,23.25,23.34,23.07,12657.2,12717.9,12717.9,12541.33
7/11/2011,22.99,22.97,23.26,22.78,12505.76,12655.77,12655.77,12443.4
7/12/2011,22.93,22.82,23,22.66,12446.88,12505.46,12603.77,12423.27
7/13/2011,22.66,22.75,23.22,22.75,12491.61,12447.33,12635.52,12447.33
7/14/2011,22.69,23.04,23.24,22.81,12437.12,12492.67,12602.3,12398.94
7/15/2011,22.65,23.09,23.09,22.71,12479.73,12437.8,12539.21,12374.75
7/18/2011,22.96,22.73,22.9,22.62,12385.16,12475.11,12475.11,12276.59
7/19/2011,22.93,22.86,22.88,22.63,12587.42,12385.96,12636.62,12385.96
7/20/2011,22.73,22.72,22.75,22.54,12571.91,12583.75,12654.37,12499.4
7/21/2011,22.58,22.69,23.15,22.57,12724.41,12567.14,12794,12567.14
7/22/2011,22.18,23.01,23.07,22.86,12681.16,12724.71,12768.31,12605.59
7/25/2011,22.62,22.59,22.85,22.58,12592.8,12679.72,12682.97,12509.58
7/26/2011,22.54,22.75,22.83,22.55,12501.3,12592.12,12618.11,12457.25
7/27/2011,22.34,22.49,22.64,22.14,12302.55,12498.65,12499.48,12275.38
7/28/2011,21.28,22.22,22.84,22.22,12240.11,12301.95,12412.48,12200.99
7/29/2011,21.77,22.45,22.7,22.31,12143.24,12239.28,12262.74,12044.21
8/1/2011,20.39,22.61,22.62,22,12132.49,12144.3,12320.94,11978.55
8/2/2011,20.97,22.07,22.3,21.25,11866.62,12130.22,12152.96,11857.91
8/3/2011,19.8,21.33,21.78,20.73,11896.44,11863.89,11957.63,11678.69
